exchange96auto,random,3,0.1898,0.1882,0.1877,45.0,158.3,272.3,
exchange96auto,msr_random,3,0.189,0.1886,0.1883,50.0,177.0,305.0,
exchange96auto,our_random,3,0.1901,0.1875,0.1873,48.0,169.0,291.0,

exchange96auto,gp,3,0.19,0.1896,0.188,42.3,148.3,255.0,
exchange96auto,msr_gp,3,0.1883,0.1881,0.1877,57.0,200.0,343.0,
exchange96auto,our_gp,3,0.1876,0.1849,0.1841,43.0,151.0,259.0,

exchange96auto,tpe,3,0.1902,0.1873,0.1872,55.7,195.0,334.7,
exchange96auto,msr_tpe,3,0.1874,0.187,0.1867,62.0,218.0,375.0,
exchange96auto,our_tpe,3,0.1853,0.1853,0.1853,38.0,135.0,232.0,

exchange96auto,smac,3,0.1913,0.187,0.1848,51.0,179.0,307.0,
exchange96auto,msr_smac,3,0.1874,0.1867,0.1818,68.0,240.0,412.0,
exchange96auto,our_smac,3,0.1803,0.1802,0.1802,81.0,283.0,486.0,


exchange96auto,random,5,0.1908,0.1891,0.1884,45.0,158.3,272.3,
exchange96auto,msr_random,5,0.1899,0.1892,0.1885,50.0,177.0,305.0,
exchange96auto,our_random,5,0.191,0.1888,0.1882,48.0,169.0,291.0,

exchange96auto,gp,5,0.1909,0.19,0.1889,42.3,148.3,255.0,
exchange96auto,msr_gp,5,0.1895,0.1892,0.1884,57.0,200.0,343.0,
exchange96auto,our_gp,5,0.1889,0.186,0.1851,43.0,151.0,259.0,

exchange96auto,tpe,5,0.1906,0.1882,0.188,55.7,195.0,334.7,
exchange96auto,msr_tpe,5,0.1887,0.1882,0.1877,62.0,218.0,375.0,
exchange96auto,our_tpe,5,0.1865,0.1864,0.1864,38.0,135.0,232.0,

exchange96auto,smac,5,0.1918,0.1883,0.1867,51.0,179.0,307.0,
exchange96auto,msr_smac,5,0.1886,0.1878,0.1832,68.0,240.0,412.0,
exchange96auto,our_smac,5,0.1819,0.1811,0.1811,81.0,283.0,486.0,


exchange96auto,random,10,0.1924,0.1903,0.1895,45.0,158.3,272.3,
exchange96auto,msr_random,10,0.1913,0.1903,0.1894,50.0,177.0,305.0,
exchange96auto,our_random,10,0.1932,0.1902,0.1894,48.0,169.0,291.0,

exchange96auto,gp,10,0.1924,0.1909,0.1899,42.3,148.3,255.0,
exchange96auto,msr_gp,10,0.1907,0.1902,0.1895,57.0,200.0,343.0,
exchange96auto,our_gp,10,0.1909,0.188,0.1873,43.0,151.0,259.0,

exchange96auto,tpe,10,0.1916,0.1892,0.189,55.7,195.0,334.7,
exchange96auto,msr_tpe,10,0.1913,0.1897,0.189,62.0,218.0,375.0,
exchange96auto,our_tpe,10,0.1886,0.1881,0.1881,38.0,135.0,232.0,

exchange96auto,smac,10,0.1928,0.1895,0.1885,51.0,179.0,307.0,
exchange96auto,msr_smac,10,0.1897,0.189,0.1852,68.0,240.0,412.0,
exchange96auto,our_smac,10,0.1845,0.1838,0.1838,81.0,283.0,486.0,



